bag_number,purple,green,red,yellow,orange,total_perf,d_purple,d_green,d_red,d_yellow,d_orange,total_def,bag_total,,,per_of_probability_defects_per_bag,per_of_probability_of_normal_skittles
40,7,12,11,13,12,55,2,2,1,0,0,5,60,95,5,8%,158%
41,6,16,12,11,10,55,1,5,1,1,1,9,64,96,9,14%,150%
42,8,10,9,15,12,54,2,1,1,1,2,7,61,96,7,11%,157%
43,9,11,7,13,15,55,2,1,2,0,2,7,62,98,7,11%,158%
44,10,12,7,13,12,54,3,0,0,0,4,7,61,98,7,11%,161%
45,9,14,9,10,10,52,0,2,7,1,5,15,67,97,15,22%,145%
46,15,14,9,8,9,55,0,4,2,1,3,10,65,101,10,15%,155%
47,12,19,5,6,10,52,2,2,2,2,3,11,63,99,11,17%,157%
48,8,13,7,15,14,57,0,0,1,1,1,3,60,105,3,5%,175%
49,9,11,8,17,12,57,0,0,3,0,0,3,60,106,3,5%,177%
50,11,10,8,8,16,53,2,4,1,0,2,9,62,103,9,15%,166%
51,10,10,9,13,9,51,2,1,4,1,5,13,64,102,13,20%,159%
52,12,12,8,8,13,53,0,2,2,0,4,8,61,105,8,13%,172%
53,11,12,6,11,14,54,2,1,2,1,2,8,62,107,8,13%,173%
54,3,9,10,15,16,53,1,2,3,1,10,17,70,107,17,24%,153%
55,12,9,8,12,9,50,4,4,3,1,3,15,65,105,15,23%,162%
56,11,13,11,10,12,57,0,0,0,0,0,0,57,113,0,0%,198%
57,12,6,11,12,13,54,0,2,1,0,0,3,57,111,3,5%,195%
58,12,7,9,9,10,47,3,7,3,3,3,19,66,105,19,29%,159%
59,7,10,8,16,10,51,3,2,1,0,7,13,64,110,13,20%,172%
60,16,10,11,15,5,57,0,3,0,0,0,3,60,117,3,5%,195%
61,14,14,9,11,8,56,2,1,1,0,2,6,62,117,6,10%,189%
62,8,14,8,9,17,56,0,0,0,0,0,0,56,118,0,0%,211%
63,10,8,13,13,10,54,0,3,3,0,0,6,60,117,6,10%,195%
64,14,11,11,9,11,56,0,0,3,0,1,4,60,120,4,7%,200%
65,9,10,8,10,14,51,3,1,1,0,6,11,62,116,11,18%,187%
66,13,10,13,10,9,55,2,3,0,0,1,6,61,121,6,10%,198%
67,8,16,11,8,13,56,8,1,1,1,2,13,69,123,13,19%,178%
68,14,13,6,10,10,53,1,2,1,0,3,7,60,121,7,12%,202%
69,7,11,11,11,12,52,1,7,5,1,2,16,68,121,16,24%,178%
70,10,7,7,15,10,49,2,7,6,3,6,24,73,119,24,33%,163%
71,6,11,13,12,13,55,0,5,1,1,3,10,65,126,10,15%,194%
72,13,7,14,10,14,58,0,0,0,1,2,3,61,130,3,5%,213%
73,6,10,7,14,9,46,2,5,5,1,4,17,63,119,17,27%,189%
74,6,11,9,17,10,53,1,3,1,1,2,8,61,127,8,13%,208%
75,11,10,11,16,5,53,0,4,1,0,5,10,63,128,10,16%,203%
76,13,11,12,9,13,58,2,1,0,0,4,7,65,134,7,11%,206%
77,7,8,13,16,9,53,1,1,0,0,1,3,56,130,3,5%,232%
78,7,12,13,11,12,55,2,0,0,1,4,7,62,133,7,11%,215%
79,18,3,8,12,12,53,1,1,0,2,2,6,59,132,6,10%,224%
80,8,10,13,5,15,51,1,1,6,1,4,13,64,131,13,20%,205%
81,7,17,12,7,11,54,0,0,2,1,1,4,58,135,4,7%,233%
82,10,11,8,12,13,54,1,0,1,0,1,3,57,136,3,5%,239%
83,11,9,12,10,13,55,2,3,2,3,6,16,71,138,16,23%,194%
84,13,15,10,7,12,57,0,1,1,0,0,2,59,141,2,3%,239%
85,7,10,8,14,14,53,0,1,6,0,3,10,63,138,10,16%,219%
86,6,1,10,21,7,45,0,4,1,0,2,7,52,131,7,13%,252%
87,9,15,8,14,8,54,3,0,2,0,2,7,61,141,7,11%,231%
88,10,10,13,8,12,53,0,0,1,1,1,3,56,141,3,5%,252%
89,12,11,6,13,12,54,2,2,2,0,1,7,61,143,7,11%,234%
90,6,10,13,10,13,52,0,1,3,1,0,5,57,142,5,9%,249%
92,9,17,11,10,7,54,0,2,0,0,0,2,56,146,2,4%,261%
93,9,7,11,13,8,48,1,3,3,2,6,15,63,141,15,24%,224%
93,7,10,6,12,20,55,2,0,3,1,0,6,61,148,6,10%,243%
94,8,10,10,7,18,53,5,3,4,1,6,19,72,147,19,26%,204%
95,8,14,7,13,11,53,2,2,2,2,2,10,63,148,10,16%,235%
96,11,12,8,19,7,57,0,2,0,0,2,4,61,153,4,7%,251%
97,10,4,11,21,13,59,0,0,1,0,0,1,60,156,1,2%,260%
98,5,12,14,7,13,51,1,2,3,3,0,9,60,149,9,15%,248%
99,9,13,5,11,14,52,1,1,0,1,2,5,57,151,5,9%,265%
100,10,10,13,9,10,52,1,1,3,0,4,9,61,152,9,15%,249%
