bag_number,purple,green,red,yellow,orange,total_perf,d_purple,d_green,d_red,d_yellow,d_orange,total_def,bag_total
76,13,11,12,9,13,58,2,1,0,0,4,7,65
77,7,8,13,16,9,53,1,1,0,0,1,3,56
78,7,12,13,11,12,55,2,0,0,1,4,7,62
79,18,3,8,12,12,53,1,1,0,2,2,6,59
80,8,10,13,5,15,51,1,1,6,1,4,13,64
81,7,17,12,7,11,54,0,0,2,1,1,4,58
82,10,11,8,12,13,54,1,0,1,0,1,3,57
83,11,9,12,10,13,55,2,3,2,3,6,16,71
84,13,15,10,7,12,57,0,1,1,0,0,2,59
85,7,10,8,14,14,53,0,1,6,0,3,10,63
86,6,1,10,21,7,45,0,4,1,0,2,7,52
87,9,15,8,14,8,54,3,0,2,0,2,7,61
88,10,10,13,8,12,53,0,0,1,1,1,3,56
89,12,11,6,13,12,54,2,2,2,0,1,7,61
90,6,10,13,10,13,52,0,1,3,1,0,5,57
92,9,17,11,10,7,54,0,2,0,0,0,2,56
93,9,7,11,13,8,48,1,3,3,2,6,15,63
93,7,10,6,12,20,55,2,0,3,1,0,6,61
94,8,10,10,7,18,53,5,3,4,1,6,19,72
95,8,14,7,13,11,53,2,2,2,2,2,10,63
96,11,12,8,19,7,57,0,2,0,0,2,4,61
97,10,4,11,21,13,59,0,0,1,0,0,1,60
98,5,12,14,7,13,51,1,2,3,3,0,9,60
99,9,13,5,11,14,52,1,1,0,1,2,5,57
100,10,10,13,9,10,52,1,1,3,0,4,9,61
